[  ] (mg/L);pH;Tempo;Palmitato;Oleato;Flotabilidade (%)
0.02;1;1;0.568;0.281;0.000454983
0.02;1;1;0.271;0.482;0.002856788
0.02;0.75;1;0.568;0.281;0.004749432
0;1;1;0.115;0.75;0.004854565
0;1;1;0.568;0.281;0.00485948
0;1;1;0;1;0.00485948
0;1;1;0.271;0.482;0.00485948
0;1;1;1;0;0.00485948
0.02;1;1;0.115;0.75;0.005702718
0.02;0;1;0;1;0.005871688
0;0.5;1;1;0;0.006363162
0;0.5;1;0.271;0.482;0.006363162
0;0.5;1;0;1;0.006363162
0;0.5;1;0.115;0.75;0.006363162
0;0.5;1;0.568;0.281;0.006363162
0;0.75;1;1;0;0.006423887
0;0.75;1;0;1;0.006423887
0;0.75;1;0.271;0.482;0.006423887
0;0.75;1;0.115;0.75;0.006423887
0.02;0.5;1;0.568;0.281;0.006751201
0.02;0.5;1;0.271;0.482;0.006983174
0;0.25;1;0.568;0.281;0.00860408
0;0.25;1;0.271;0.482;0.00860408
0;0.25;1;0;1;0.00860408
0.02;0.75;1;0.271;0.482;0.010022117
0;0.75;1;0.568;0.281;0.010258349
0.02;0.25;1;0.568;0.281;0.011970915
0.6;0.25;1;1;0;0.013281112
0.02;0;1;0.115;0.75;0.01490433
0.4;0.5;1;0.568;0.281;0.016355793
0.2;0.5;1;1;0;0.016453293
0.6;0.75;1;1;0;0.017315469
0.02;0.5;1;0.115;0.75;0.019782207
0.02;0.75;1;0.115;0.75;0.020553921
0.4;0.75;1;0.568;0.281;0.020989137
0.02;0.5;1;0;1;0.020990895
0.02;0.25;1;0.115;0.75;0.021662679
0.2;0.75;1;1;0;0.021725384
0.2;1;1;0.271;0.482;0.021855617
0.02;0.25;1;0;1;0.021967739
0.02;0;1;0.115;0.75;0.022198228
0.4;0.25;1;0.568;0.281;0.022207694
0.2;0.25;1;1;0;0.022803728
0.3;1;1;0.271;0.482;0.023539458
0.02;0.75;1;0.115;0.75;0.025125054
0.3;0.75;1;0.271;0.482;0.025915865
0.02;1;1;0;1;0.025933331
0.1;1;1;0.115;0.75;0.025975689
0.2;0.5;1;0.568;0.281;0.026008445
0.6;0.5;1;1;0;0.026653651
0.1;1;1;0.115;0.75;0.026846275
0.2;1;1;0.271;0.482;0.027027949
0.6;0.5;1;1;0;0.027040099
0.02;0.5;1;0;1;0.027292478
0.2;0.25;1;0.568;0.281;0.030979376
0.2;0.25;1;0.568;0.281;0.031189232
0.02;0.75;1;0;1;0.031835627
0.2;1;1;1;0;0.033495088
0.2;0.5;1;0.568;0.281;0.033865461
0.02;0.5;1;0.115;0.75;0.035621965
0;0;1;0.271;0.482;0.036409507
0;0;1;1;0;0.036409507
0;0;1;0.568;0.281;0.036409507
0;0;1;0.115;0.75;0.036409507
0.6;0.5;1;0.568;0.281;0.038132809
0.3;0.5;1;0.271;0.482;0.044351604
0.2;1;1;0.568;0.281;0.044672251
0.2;0;1;1;0;0.047112907
0.2;0;1;1;0;0.04753208
0;0;1;0.271;0.482;0.048036314
0;0;1;0.115;0.75;0.048036314
0;0;1;1;0;0.048036314
0.2;1;1;0.568;0.281;0.049491799
0.2;0.5;1;0.271;0.482;0.054491803
0.1;0.75;1;0.115;0.75;0.054662256
0.1;0.75;1;0.115;0.75;0.058451933
0.6;1;1;1;0;0.06244836
